Site,Month,Year,Harbour,Grey
Langstone,7,2015,4,2
Langstone,8,2015,0,0
Langstone,9,2015,3,0
Langstone,6,2016,3,1
Langstone,7,2016,4,0
Langstone,8,2016,3,0
Langstone,9,2016,3,0
Langstone,6,2017,5,0
Langstone,7,2017,3,2
Langstone,8,2017,0,0
Langstone,9,2017,4,0
Chichester,7,2015,22,0
Chichester,8,2015,20,0
Chichester,9,2015,27,5
Chichester,6,2016,19,5
Chichester,7,2016,33,5
Chichester,8,2016,36,5
Chichester,9,2016,11,2
Chichester,6,2017,29,7
Chichester,7,2017,43,4
Chichester,8,2017,46,8
Chichester,9,2017,18,6
Chichester,3,2018,19,2
Chichester,6,2018,24,11
Chichester,7,2018,38,7
Chichester,8,2018,35,10
Chichester,9,2018,29,9
Chichester,5,2019,29,10
Chichester,6,2019,23,9
Chichester,6,2019,23,9
Chichester,7,2019,34,9
Chichester,7,2019,43,14
Chichester,8,2019,38,19
Chichester,8,2019,31,16
Chichester,9,2019,23,10
Langstone,5,2019,0,0
Langstone,6,2019,7,1
Langstone,6,2019,4,1
Langstone,7,2019,4,2
Langstone,7,2019,4,2
Langstone,8,2019,3,1
Langstone,8,2019,7,2
Langstone,9,2019,3,1
